"Case","Docket","Attorney","Time Speaking"
"Wisconsin Bell  v. United States, ex rel. Heath","23-1127","Allyson N. Ho",26.16
"Wisconsin Bell  v. United States, ex rel. Heath","23-1127","Tejinder Singh",21.52
"Wisconsin Bell  v. United States, ex rel. Heath","23-1127","Vivek Suri",8.28
"E.M.D. Sales, Inc v. Carrera","23-217","Aimee W. Brown",8.55
"E.M.D. Sales, Inc v. Carrera","23-217","Lauren E. Bateman",9.31
"E.M.D. Sales, Inc v. Carrera","23-217","Lisa S. Blatt",12.08
"Advocate Christ Medical Center v. Becerra","23-715","Ephraim McDowell",14.46
"Advocate Christ Medical Center v. Becerra","23-715","Melissa Arbus Sherry",26.62
"Delligatti v. United States.","23-825","Allon Kedem",20.01
"Delligatti v. United States.","23-825","Eric J. Feigin",18.45
"Velazquez v. Garland","23-929","Anthony A. Yang",20.43
"Velazquez v. Garland","23-929","Gerard J. Cedrone",18.24
"NVIDIA Corp.  v. E. Ohman J:or Fonder AB","23-970","Colleen E. Roh Sinzdak",6.93
"NVIDIA Corp.  v. E. Ohman J:or Fonder AB","23-970","Deepak Gupta",20.31
"NVIDIA Corp.  v. E. Ohman J:or Fonder AB","23-970","Neal Kumar Katyal",27
"Facebook v. Amalgamated Bank","23-980","Kannon K. Shanmugam",30.53
"Facebook v. Amalgamated Bank","23-980","Kevin J. Barber",13.71
"Facebook v. Amalgamated Bank","23-980","Kevin K. Russell",13.49
