Case,Docket,Attorney,Time Speaking,Total Words
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Allyson N. Ho,26.16,3966
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Tejinder Singh,21.52,4234
Wisconsin Bell  v. United States, ex rel. Heath,23-1127,Vivek Suri,8.28,1414
E.M.D. Sales, Inc v. Carrera,23-217,Aimee W. Brown,8.55,1809
E.M.D. Sales, Inc v. Carrera,23-217,Lauren E. Bateman,9.31,1588
E.M.D. Sales, Inc v. Carrera,23-217,Lisa S. Blatt,12.08,2311
Advocate Christ Medical Center v. Becerra,23-715,Ephraim McDowell,14.46,2978
Advocate Christ Medical Center v. Becerra,23-715,Melissa Arbus Sherry,26.62,5010
Delligatti v. United States.,23-825,Allon Kedem,20.01,3774
Delligatti v. United States.,23-825,Eric J. Feigin,18.45,3141
Velazquez v. Garland,23-929,Anthony A. Yang,20.43,3721
Velazquez v. Garland,23-929,Gerard J. Cedrone,18.24,3373
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Colleen E. Roh Sinzdak,6.93,1250
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Deepak Gupta,20.31,3554
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Neal Kumar Katyal,27,5016
Facebook v. Amalgamated Bank,23-980,Kannon K. Shanmugam,30.53,5513
Facebook v. Amalgamated Bank,23-980,Kevin J. Barber,13.71,2470
Facebook v. Amalgamated Bank,23-980,Kevin K. Russell,13.49,2667
