"Case","Docket","Attorney","Time Speaking"
"Oklahoma v. EPA","23-1067","Malcolm L. Stewart",10.15
"Oklahoma v. EPA","23-1067","Misha Tseytlin",10.05
"Oklahoma v. EPA","23-1067","Mithun Mansinghani",13.24
"EPA v. Calumet Shreveport Refining","23-1229","Malcolm L. Stewart",26.06
"EPA v. Calumet Shreveport Refining","23-1229","Michael R. Huston",18.77
"EPA v. Calumet Shreveport Refining","23-1229","Seth P. Waxman",18.33
"Riley v. Bondi","23-1270","Ephraim McDowell",11.56
"Riley v. Bondi","23-1270","Keith Bradley",10.51
"Riley v. Bondi","23-1270","Stephen J. Hammer",13.69
"Medina v. Planned Parenthood South Atlantic","23-1275","John J. Bursch",19.95
"Medina v. Planned Parenthood South Atlantic","23-1275","Kyle D. Hawkins",8.55
"Medina v. Planned Parenthood South Atlantic","23-1275","Nicole A. Saharsky",25.4
"Rivers v. Guerrero","23-1345","Aaron L. Nielson",8.27
"Rivers v. Guerrero","23-1345","Matthew Guarnieri",5.91
"Rivers v. Guerrero","23-1345","Peter A. Bruland",24.11
"Lousiana v. Callais","24-109","Edward D. Greim",13.83
"Lousiana v. Callais","24-109","J. Benjamin Aguinaga",14.04
"Lousiana v. Callais","24-109","Stuart C. Naifeh",15.43
"Catholic Charities Bureau v. WI Labor and Industry Review","24-154","Colin T. Roth",21.16
"Catholic Charities Bureau v. WI Labor and Industry Review","24-154","Curtis E. Gannon",13.05
"Catholic Charities Bureau v. WI Labor and Industry Review","24-154","Eric C. Rassbach",22.07
"Fuld v. PLO","24-20","Edwin S. Kneedler",25.02
"Fuld v. PLO","24-20","Kent A. Yalowitz",19.25
"Fuld v. PLO","24-20","Mitchell R. Berger",22.32
"FCC v. Consumers' Research","24-354","Paul D. Clement",25.41
"FCC v. Consumers' Research","24-354","R. Trent McCotter",25.63
"FCC v. Consumers' Research","24-354","Sarah M. Harris",37.04
